row,property,rooms,providedUnitCode,matchedName,homeId,projectId,listingId,confidence,accepted
3,Aribau 1º 1ª,1,687519db8b627233fbe41a26,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
4,Aribau 1º 2ª,1,687519db8b627233fbe41a38,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
5,Aribau 2º 1º,1,687519db8b627233fbe41a2b,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
6,Aribau 2º 2º,3,687519db8b627233fbe41a27,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
7,Aribau 2º 3ª,1,687519db8b627233fbe41a34,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
8,Aribau 126-128 3-1,0,687519db8b627233fbe41a30,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
9,Aribau 3º 2ª,3,687519db8b627233fbe41a2e,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
10,Aribau 4º 1ª,3,687519db8b627233fbe41a2c,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
11,Aribau 4º 2ª,3,687519db8b627233fbe41a2c,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
12,Aribau 4º 1ª B,2,687519db8b627233fbe41a28,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
14,Bisbe Laguarda 14  Pral-2,3,688c84c4798c753ee73f3f49,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
15,Bisbe Laguarda 14  2-2,3,688c84f60d55203dc8793fde,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
17,Blasco de Garay Pral 1ª,3,68752c54f04eb63473e7c7a1,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
18,Blasco de Garay Pral 2ª,3,68752c54f04eb63473e7c7a4,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
19,Blasco de Garay 1º 1ª,3,68752c54f04eb63473e7c7a6,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
20,Blasco de Garay 1º-2,2,68752c54f04eb63473e7c7aa,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
21,Blasco de Garay 2º 1ª,3,68752c54f04eb63473e7c7ad,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
22,Blasco de Garay 2º 2ª,3,68752c54f04eb63473e7c7bd,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
23,Blasco de Garay 3º 1ª,3,68752c54f04eb63473e7c7b9,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
24,Blasco de Garay 3º 2ª,3,68752c54f04eb63473e7c7b6,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
25,Blasco de Garay 4º 1ª,3,68752c54f04eb63473e7c7b2,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
26,Blasco de Garay 5º 1ª,1,68752c54f04eb63473e7c7ae,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
28,Comte Borrell Pral 1ª,3,687669d3b242f940e646339b,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
29,Comte Borrell 5º 1ª,1,687669d3b242f940e64633c7,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
30,Comte Borrell 5º 2ª,1,687669d3b242f940e64633cc,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
32,Llull 250 Pral 3,2,68765b381c2a12415036238d,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
33,Llull 250 Pral 5,2,68765b381c2a12415036238a,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
34,Llull 250 1-1,2,68765b381c2a124150362387,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
35,Llull 250 1-3,2,68765b381c2a124150362384,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
36,Llull 250 1-4,3,68765b381c2a124150362381,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
37,Llull 250 1-5,2,68765b381c2a12415036237e,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
38,Llull 250 1-6,2,68765b381c2a124150362390,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
39,Llull 250 2-3,2,68765b381c2a12415036239a,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
40,Llull 250 2-5,2,68765b381c2a124150362396,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
41,Llull 250 2-6,2,68765b381c2a124150362393,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
42,Llull 250 3-2,2,68765b381c2a124150362398,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
43,Llull 250 3-4,3,68765b381c2a124150362399,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
44,Llull 250 3-5,2,68765b381c2a12415036239c,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
45,Llull 250 3-6,2,68765b381c2a12415036239f,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
46,Llull 250 4-3,2,68765b381c2a1241503623a2,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
47,Llull 250 4-5,2,68765b381c2a1241503623a5,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
48,Llull 250 5-1,2,68765b381c2a1241503623a8,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
49,Llull 250 5-2,2,68765b381c2a1241503623aa,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
50,Llull 250 5-3,2,68765b381c2a1241503623a6,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
51,Llull 250 5-4,3,68765b381c2a1241503623a5,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
52,Llull 250 5-5,2,68765b381c2a124150362399,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
55,Padilla Entl 1ª,2,68627692e9dc827f03be4049,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
56,Padilla Entl 2ª,2,68627692e9dc827f03be404c,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
57,Padilla Entl 4ª,2,68627692e9dc827f03be404e,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
58,Padilla Pral 2ª,2,68627692e9dc827f03be4050,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
59,Padilla Pral 3ª,3,68627692e9dc827f03be4053,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
60,Padilla 1º 1ª,3,68627692e9dc827f03be405b,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
61,Padilla 1º 2ª,3,68627692e9dc827f03be4069,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
62,Padilla 1º 3ª,3,68627692e9dc827f03be4065,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
63,Padilla 2º 1ª,3,68627692e9dc827f03be4062,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
64,Padilla 2-2,3,68627692e9dc827f03be405f,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
65,Padilla 2º 3ª,3,68627692e9dc827f03be405c,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
66,Padilla 2 - 4,3,68627692e9dc827f03be4057,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
67,Padilla 3º 2ª,3,68627692e9dc827f03be406a,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
68,Padilla 3º 3ª,3,68627692e9dc827f03be4073,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
69,Padilla 4º 2ª,3,68627692e9dc827f03be406e,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
70,Padilla 4º 3ª,3,68627692e9dc827f03be407f,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
71,Padilla 5º 1ª,2,68627692e9dc827f03be407c,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
72,Padilla 5º 2ª,2,68627692e9dc827f03be4078,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
74,Psg Sant Joan Entl 1ª,4,68768928e48f7e407fb26efe,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
75,Psg Sant Joan Entl 2ª,3,68768928e48f7e407fb26f00,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
76,Psg Sant Joan Pral 1ª,4,68768928e48f7e407fb26f02,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
77,Psg Sant Joan Pral 2ª,4,68768928e48f7e407fb26f04,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
78,Psg Sant Joan 1º 1ª,4,68768928e48f7e407fb26f06,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
79,Pg Sant Joan 161 2-1,4,68768928e48f7e407fb26f08,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
80,Pg Sant Joan 161 2-2,4,68768928e48f7e407fb26f0a,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
81,Psg Sant Joan 3º 2ª,4,68768928e48f7e407fb26f0c,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
82,Pg Sant Joan 4-1,4,68768928e48f7e407fb26f0e,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
83,Psg Sant Joan 4º 2ª,3,68768928e48f7e407fb26f10,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
84,Psg Sant Joan 5º 2ª,4,68768928e48f7e407fb26f12,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
87,Providencia Bajs 2ª,1,687679b5edbd1041b92ce0bf,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
88,Providencia Pral 2ª,3,687679b5edbd1041b92ce0c1,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
89,Providencia 1º 1ª,2,687679b5edbd1041b92ce0be,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
90,Providencia 1º 2ª,3,687679b5edbd1041b92ce0bd,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
91,Providencia 2º 1ª,2,687679b5edbd1041b92ce0d9,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
92,Providencia 2º 2ª,2,687679b5edbd1041b92ce0c3,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
93,Providencia 3º 2ª,2,687679b5edbd1041b92ce0c7,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
94,Providencia 4º 2ª,3,687679b5edbd1041b92ce0ca,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
96,Sardenya 1º 2ª,2,687679b5edbd1041b92ce0cf,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
97,Sardenya 2º 2ª,2,687679b5edbd1041b92ce0d2,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
98,Sardenya 3º 2ª,2,687679b5edbd1041b92ce0d4,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
99,Sardenya 4º 2ª,2,687679b5edbd1041b92ce0d7,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
100,Sardenya 5º 2ª,2,687679b5edbd1041b92ce0d6,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
102,Torrent Olla Pral 1ª,3,687535528b627233fbe4aaa6,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
103,Torrent Olla 1º 1ª,3,687535528b627233fbe4aaa7,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
104,Torrent Olla 1º 2ª,4,687535528b627233fbe4aaaf,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
105,Torrent Olla 2º 1ª,4,687535528b627233fbe4aaaa,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
106,Torrent Olla 2º 2ª,3,687535528b627233fbe4aab4,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
107,Torrent Olla 3º 2ª,4,687535528b627233fbe4aab6,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
108,Torrent Olla Ático,1,,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
110,Valencia Pral 1ª,3,686b83ec890c990624e39a26,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
111,Valencia 2º 1ª,4,686b878d890c990624e3c2ed,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
112,Valencia Ático,1,686b882cc7c40605e62c3cdb,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false